Samples,Study,Similarity,Signature Subs-01,Signature Subs-02,Signature Subs-03,Signature Subs-04,Signature Subs-05,Signature Subs-08,Signature Subs-12,Signature Subs-13,Signature Subs-17a,Signature Subs-17b,Signature Subs-18,Signature Subs-33,Signature Subs-40,Signature Subs-42
NSLC-0128-T01,Laval - Quebec,0.8999999999999999,60,0,0,0,1474,384,0,0,0,0,0,0,0,0
NSLC-0129-T01,Laval - Quebec,0.7799999999999999,139,370,0,0,348,0,0,473,0,0,0,0,1200,0
NSLC-0130-T01,Laval - Quebec,0.75,569,509,0,0,2165,0,0,500,0,0,0,0,3677,0
NSLC-0131-T01,Laval - Quebec,0.97,286,0,0,0,1126,0,0,311,0,0,0,0,3227,0
NSLC-0132-T01,Laval - Quebec,0.8899999999999999,42,0,0,0,728,0,0,0,0,0,0,0,0,0
NSLC-0133-T01,Laval - Quebec,0.9199999999999999,11,24,0,0,124,0,0,0,0,0,39,0,0,0
NSLC-0134-T01,Laval - Quebec,0.97,90,0,0,0,1573,548,0,0,0,0,0,0,0,0
NSLC-0135-T01,Laval - Quebec,0.7799999999999999,366,0,0,0,1397,0,0,0,0,0,0,0,1447,0
NSLC-0136-T01,Laval - Quebec,0.87,363,2372,3908,0,1282,0,0,3014,0,0,0,0,0,0
NSLC-0137-T01,Laval - Quebec,0.84,24,0,0,0,356,0,0,0,0,0,0,0,0,0
NSLC-0138-T01,Laval - Quebec,0.77,27,64,0,0,1055,0,0,0,0,0,257,0,0,0
NSLC-0139-T01,Laval - Quebec,0.7799999999999999,559,1137,0,0,4204,0,0,0,0,0,0,0,0,0
NSLC-0140-T01,Laval - Quebec,0.73,168,132,0,0,1388,0,0,0,0,0,0,0,1515,0
NSLC-0142-T01,Laval - Quebec,0.86,57,0,0,0,379,147,0,0,0,0,0,0,0,0
NSLC-0143-T01,Laval - Quebec,0.8999999999999999,39,0,0,0,107,0,0,0,6,21,0,0,400,0
NSLC-0144-T01,Laval - Quebec,0.7799999999999999,536,210,0,0,1409,0,0,352,0,0,0,0,2733,0
NSLC-0145-T01,Laval - Quebec,0.95,703,153,0,0,804,0,0,0,0,0,0,0,2816,0
NSLC-0146-T01,Laval - Quebec,0.9199999999999999,315,144,0,0,1388,0,0,0,0,0,0,0,2066,0
NSLC-0147-T01,Laval - Quebec,1,370,319,0,0,705,0,0,0,0,0,2586,0,2649,0
NSLC-0148-T01,Laval - Quebec,0.74,824,310,0,0,1591,0,0,0,0,0,1692,0,3671,0
NSLC-0149-T01,Laval - Quebec,0.75,66,0,0,0,1512,563,0,0,0,0,0,0,0,0
NSLC-0150-T01,Laval - Quebec,0.99,65,0,0,0,1398,250,0,0,0,0,0,0,0,0
NSLC-0151-T01,Laval - Quebec,0.82,172,578,0,0,767,0,0,471,0,0,0,0,2609,0
NSLC-0152-T01,Laval - Quebec,1,234,105,0,0,1336,0,0,0,0,0,0,0,1756,0
NSLC-0153-T01,Laval - Quebec,0.87,17,0,0,0,860,200,0,0,0,0,0,0,0,0
NSLC-0154-T01,Laval - Quebec,0.76,179,0,0,0,557,0,0,0,0,0,0,0,1819,0
NSLC-0155-T01,Laval - Quebec,0.8999999999999999,182,179,0,0,1119,0,0,0,0,0,0,0,2151,0
NSLC-0156-T01,Laval - Quebec,0.82,320,0,0,0,848,0,0,0,0,0,0,0,2100,0
NSLC-0157-T01,Laval - Quebec,0.83,239,310,1878,0,1270,0,0,293,0,0,717,0,0,0
NSLC-0158-T01,Laval - Quebec,1,80,0,0,0,1559,0,0,0,0,0,0,0,0,0
NSLC-0159-T01,Laval - Quebec,0.85,20,0,0,0,1104,0,0,0,0,0,0,0,0,0
NSLC-0160-T01,Laval - Quebec,0.9299999999999999,122,0,0,0,299,0,0,0,0,0,0,0,930,160
NSLC-0161-T01,Laval - Quebec,0.7899999999999999,50,145,0,0,655,0,0,0,0,0,0,0,772,0
NSLC-0162-T01,Laval - Quebec,0.9099999999999999,9,0,0,0,274,0,0,0,0,0,0,0,0,0
NSLC-0163-T01,Laval - Quebec,0.99,40,0,0,0,2497,1959,0,0,0,0,0,0,0,0
NSLC-0164-T01,Laval - Quebec,0.77,45,0,0,0,729,159,0,0,0,0,0,0,0,0
NSLC-0165-T01,Laval - Quebec,0.7899999999999999,37,0,0,0,1356,269,0,0,0,0,0,0,0,0
NSLC-0166-T01,Laval - Quebec,0.74,278,0,0,0,925,0,0,0,0,0,0,0,2279,0
NSLC-0167-T01,EAGLE - NCI,0.8999999999999999,673,0,0,0,1472,0,0,0,0,0,0,0,1395,0
NSLC-0167-T02,EAGLE - NCI,0.86,611,0,0,0,1548,0,0,0,0,0,0,0,1304,0
NSLC-0167-T03,EAGLE - NCI,0.86,565,0,0,0,1582,0,0,0,0,0,0,0,1137,0
NSLC-0167-T04,EAGLE - NCI,0.97,570,0,0,0,1389,0,0,0,0,0,0,0,1263,0
NSLC-0167-T05,EAGLE - NCI,0.8999999999999999,598,0,0,0,1390,0,0,0,0,0,0,0,1297,0
NSLC-0167-T06,EAGLE - NCI,0.76,662,0,0,0,1454,0,0,0,0,0,0,0,1458,0
NSLC-0167-T07,EAGLE - NCI,0.77,665,0,0,0,1483,0,0,0,0,0,0,0,1389,0
